threshold,m2,macro_f2,precision_pos,recall_pos,fn,fp,positive_rate
0.2,0.42966227006357127,0.6933480215286071,0.7602739726027398,0.9801324503311258,9,140,0.8463768115942029
0.21,0.4480617760943059,0.7016277992424377,0.7651122625215889,0.977924944812362,10,136,0.8391304347826087
0.22,0.4816603113387464,0.7167471401024359,0.7740805604203153,0.9757174392935982,11,129,0.827536231884058
0.23,0.4947075764890786,0.7226184094200854,0.7783687943262412,0.9690949227373068,14,125,0.8173913043478261
0.24,0.4974557629885817,0.7238550933448618,0.7799642218246869,0.9624724061810155,17,123,0.8101449275362319
0.25,0.5076339383063602,0.7284352722378621,0.7840290381125227,0.9536423841059603,21,119,0.7985507246376812
0.26,0.5151047875740769,0.7317971544083346,0.7864963503649635,0.9514348785871964,22,117,0.7942028985507247
0.27,0.5199690984125681,0.7339860942856556,0.789279112754159,0.9426048565121413,26,114,0.7840579710144927
0.28,0.5248901321305692,0.7362005594587562,0.7907407407407407,0.9426048565121413,26,113,0.782608695652174
0.29,0.5419747368401174,0.7438886315780529,0.7962616822429907,0.9403973509933775,27,109,0.7753623188405797
0.3,0.5392718744373387,0.7426723434968024,0.7966101694915254,0.9337748344370861,30,108,0.7695652173913043
0.31,0.5555368038913455,0.7499915617511055,0.8038461538461539,0.9227373068432672,35,102,0.7536231884057971
0.32,0.5596176821983273,0.7518279569892473,0.8070175438596491,0.9139072847682119,39,99,0.7434782608695653
0.33,0.5760053232970535,0.7592023954836741,0.812992125984252,0.9116997792494481,40,95,0.736231884057971
0.34,0.5802514826694447,0.7611131672012501,0.8154761904761905,0.9072847682119205,42,93,0.7304347826086957
0.35,0.60106073263968,0.770477329687856,0.8232931726907631,0.9050772626931567,43,88,0.7217391304347827
0.36,0.6004813984294444,0.77021662929325,0.8242424242424242,0.9006622516556292,45,87,0.717391304347826
0.37,0.6038647342995171,0.7717391304347827,0.8278688524590164,0.891832229580574,49,84,0.7072463768115942
0.38,0.6215347156756527,0.7796906220540437,0.8357588357588358,0.8874172185430463,51,79,0.6971014492753623
0.39,0.6226763530980397,0.7802043588941179,0.8382352941176471,0.8807947019867549,54,77,0.6898550724637681
0.4,0.6218845511301442,0.7798480480085649,0.8393234672304439,0.8763796909492274,56,76,0.6855072463768116
0.41,0.6282599111303204,0.7827169600086442,0.8425531914893617,0.8741721854304636,57,74,0.6811594202898551
0.42,0.6408857937736423,0.788398607198139,0.8491379310344828,0.869757174392936,59,70,0.672463768115942
0.43,0.6372759524511719,0.7867741786030273,0.85,0.8631346578366446,62,69,0.6666666666666666
0.44,0.6407821217935903,0.7883519548071156,0.8530701754385965,0.8587196467991169,64,67,0.6608695652173913
0.45,0.6442316159407192,0.7899042271733236,0.8561946902654868,0.8543046357615894,66,65,0.6550724637681159
0.46,0.6591502571980324,0.7966176157391146,0.8635346756152126,0.8520971302428256,67,61,0.6478260869565218
0.47,0.669569457200848,0.8013062557403816,0.8690744920993227,0.8498896247240618,68,58,0.6420289855072464
0.48,0.6862057656520482,0.8087925945434217,0.8816705336426914,0.8388520971302428,73,51,0.6246376811594203
0.49,0.6937711998205579,0.8121970399192511,0.8907363420427553,0.8278145695364238,78,46,0.6101449275362318
0.5,0.7023868247508647,0.8160740711378891,0.8985507246376812,0.8211920529801324,81,42,0.6
