experiment,cv_m2,delta_vs_baseline,macro_f2,mean_fold,std_fold,fn,fp,positive_rate,folds_improved,fold_scores
one-sided alpha=0.25,0.6849747474747474,-0.017412077276117266,0.8082386363636364,0.8080905862779044,0.046632570451759225,75,50,0.6202898550724638,1,"[0.7254, 0.8269, 0.8387, 0.8278, 0.8216]"
one-sided alpha=0.50,0.6886011899656598,-0.013785634785204892,0.8098705354845469,0.8096874616863381,0.04621290654081088,69,53,0.6333333333333333,1,"[0.7315, 0.8239, 0.8533, 0.8278, 0.8119]"
one-sided alpha=0.75,0.6969321572389727,-0.005454667511891942,0.8136194707575377,0.8134817734084319,0.03606689006968425,58,58,0.6565217391304348,2,"[0.7681, 0.827, 0.8655, 0.8083, 0.7985]"
one-sided alpha=1.00,0.6695953688155387,-0.03279145593532595,0.8013179159669924,0.8009978762216511,0.03189712943634764,50,69,0.6840579710144927,2,"[0.7598, 0.8361, 0.8298, 0.7846, 0.7946]"
one-sided alpha=1.50,0.3511537320582689,-0.3512330926925958,0.658019179426221,0.656651176927191,0.02808569438996814,29,146,0.8260869565217391,0,"[0.6555, 0.6638, 0.6094, 0.6743, 0.6803]"
