experiment,cv_m2,delta_vs_baseline,macro_f2,mean_fold,std_fold,fn,fp,positive_rate,folds_improved,fold_scores,n_rows_lifted
auc_gate=0.55 alpha=0.50,0.6920462744326381,-0.01034055031822656,0.8114208234946871,0.8111564614950589,0.040123458456872846,74,49,0.6202898550724638,1,"[0.7413, 0.8269, 0.841, 0.8312, 0.8154]",166
auc_gate=0.55 alpha=0.75,0.7000302316752953,-0.0023565930755693465,0.8150136042538829,0.8147554192522088,0.0364746754084085,68,51,0.6318840579710145,3,"[0.7597, 0.8397, 0.8471, 0.8312, 0.796]",166
auc_gate=0.55 alpha=1.00,0.7035200866704308,0.0011332619195660865,0.8165840390016939,0.8163634685661505,0.04422359443948932,62,54,0.644927536231884,3,"[0.7459, 0.8492, 0.8533, 0.8312, 0.8022]",166
auc_gate=0.60 alpha=0.50,0.6963408921601447,-0.006045932590719949,0.8133534014720651,0.8130944852703598,0.03591906955597222,74,48,0.618840579710145,2,"[0.751, 0.8269, 0.841, 0.8312, 0.8154]",152
auc_gate=0.60 alpha=0.75,0.7015901613532542,-0.0007966633976104198,0.8157155726089644,0.8154821672516842,0.035114877115074515,69,50,0.6289855072463768,3,"[0.7634, 0.8397, 0.8471, 0.8312, 0.796]",152
auc_gate=0.60 alpha=1.00,0.7023790564163236,-7.768334541080613e-06,0.8160705753873456,0.8159252158486833,0.04509815338930482,64,53,0.6405797101449275,2,"[0.7438, 0.8492, 0.8533, 0.8312, 0.8022]",152
auc_gate=0.70 alpha=0.50,0.6950670259547315,-0.007319798796133203,0.8127801616796292,0.8126290479415331,0.03936778793476381,76,47,0.6144927536231884,1,"[0.7448, 0.8269, 0.8449, 0.8312, 0.8154]",127
auc_gate=0.70 alpha=0.75,0.694819839354969,-0.00756698539589562,0.8126689277097361,0.8125160784553425,0.035930630348256956,73,49,0.6217391304347826,3,"[0.7572, 0.8333, 0.8449, 0.8312, 0.796]",127
auc_gate=0.70 alpha=1.00,0.696054289850017,-0.0063325349008476195,0.8132244304325077,0.8130402434916183,0.04064117720505007,71,50,0.6260869565217392,3,"[0.7474, 0.8333, 0.851, 0.8312, 0.8022]",127
