category,kind,n_errors_with_flag,n_errors,flag_rate_in_errors,flag_rate_in_correct,lift
demographic_restriction,FN,6,81,0.07407407407407407,0.08994708994708994,0.8235294117647058
demographic_restriction,FP,5,42,0.11904761904761904,0.08994708994708994,1.3235294117647058
severity_restriction,FN,0,81,0.0,0.10229276895943562,0.0
severity_restriction,FP,3,42,0.07142857142857142,0.10229276895943562,0.6982758620689655
negation_in_protocol,FN,76,81,0.9382716049382716,0.9753086419753086,0.9620253164556961
negation_in_protocol,FP,39,42,0.9285714285714286,0.9753086419753086,0.9520795660036167
missing_structured_fields,FN,19,81,0.2345679012345679,0.2786596119929453,0.8417721518987342
missing_structured_fields,FP,16,42,0.38095238095238093,0.2786596119929453,1.3670886075949367
missing_icd_field,FN,19,81,0.2345679012345679,0.25573192239858905,0.9172413793103448
missing_icd_field,FP,14,42,0.3333333333333333,0.25573192239858905,1.303448275862069
annotation_ambiguous,FN,3,81,0.037037037037037035,0.0,
annotation_ambiguous,FP,0,42,0.0,0.0,
rare_guideline,FN,1,81,0.012345679012345678,0.001763668430335097,7.0
rare_guideline,FP,0,42,0.0,0.001763668430335097,0.0
