threshold,m1
0.05,0.17357761954865417
0.06,0.21439502282624268
0.07,0.2582623630956686
0.08,0.2815661424527738
0.09,0.30143733974276843
0.1,0.31471952706543704
0.11,0.32798495481450934
0.12,0.3463516615253163
0.13,0.3648701725624802
0.14,0.38274373523954375
0.15,0.39648955552481857
0.16,0.4112455197132616
0.17,0.42353027525847636
0.18,0.43060951049254087
0.19,0.4449096615086106
0.2,0.458651964679613
0.21,0.46894040469458
0.22,0.47732119062349787
0.23,0.4869475977260408
0.24,0.4921723773696623
0.25,0.5018194240848736
0.26,0.5138537846499489
0.27,0.5234616207780024
0.28,0.5248073796548278
0.29,0.5322837634068595
0.3,0.5354800000078841
0.31,0.5400455685088835
0.32,0.5451001240474923
0.33,0.5470466435395376
0.34,0.5490331069999297
0.35,0.5420993965762277
0.36,0.550230519366322
0.37,0.564709974885258
0.38,0.5737913291505305
0.39,0.5795362612775253
0.4,0.5807735953052559
0.41,0.5815115950643118
0.42,0.5909909120386314
0.43,0.5996492247849469
0.44,0.6053069732903101
0.45,0.6084380159083561
0.46,0.6096148806367665
0.47,0.6155829126643707
0.48,0.6203507626701313
0.49,0.6243958924446356
0.5,0.6361089259031962
0.51,0.6391519990567825
0.52,0.6440438952678853
0.53,0.6501866674617846
0.54,0.6571232276637845
0.55,0.6627229080932784
0.56,0.659946485262932
0.57,0.6672520484880481
0.58,0.6663548114471912
0.59,0.6723611958511287
0.6,0.6728246178851068
0.61,0.6706916020581591
0.62,0.6770355363934918
0.63,0.6749484364702305
0.64,0.6741241482912175
0.65,0.6809183060717198
0.66,0.6805289442178952
0.67,0.6820291469414277
0.68,0.6853975661363737
0.69,0.6907246537262172
0.7,0.7056782475862026
0.71,0.7080911100947317
0.72,0.7083833121849967
0.73,0.7089718422965562
0.74,0.7020964440819697
0.75,0.7068339866252938
0.76,0.6974546769281975
0.77,0.7049507707005542
0.78,0.7013567443631752
0.79,0.6940318260860606
0.8,0.6969110829715107
0.81,0.6916156916156914
0.82,0.6887196336121069
0.83,0.687440816055899
0.84,0.6990214930973624
0.85,0.6872732073841801
0.86,0.6584556883579497
0.87,0.635775538119288
0.88,0.6175970020798779
0.89,0.6004789121199204
0.9,0.588547374420052
0.91,0.572639208998528
0.92,0.5622032001908115
0.93,0.5328135152696555
0.94,0.5041217791074527
0.95,0.46399383628287066
