fold,n,special_rate,decoder_coverage,n_guidelines,pct_rows_guideline_seen_in_train_part,mean_depth,mean_title_len,h14_m1,h15_m1,delta,h14_threshold,h15_threshold
1,354,0.2175141242937853,0.5028248587570622,227,0.9576271186440678,2.1610169491525424,155.08474576271186,0.6404652982092143,0.7705336328999193,0.130068334690705,0.7,0.71
2,354,0.2175141242937853,0.5282485875706214,221,0.9265536723163842,2.1610169491525424,156.13841807909606,0.669476615876213,0.7476678725906962,0.07819125671448324,0.76,0.83
3,353,0.21529745042492918,0.5070821529745042,212,0.9263456090651558,2.1926345609065154,155.5212464589235,0.7630933511053472,0.686322841612944,-0.07677050949240316,0.78,0.81
4,353,0.21529745042492918,0.5297450424929179,212,0.9546742209631728,2.1954674220963173,153.32294617563738,0.6924204893950117,0.7031877078316705,0.010767218436658843,0.73,0.72
5,353,0.21813031161473087,0.5439093484419264,218,0.9376770538243626,2.181303116147309,152.40226628895184,0.8070863663914886,0.8544598819001712,0.04737351550868263,0.8,0.77
