category,count,pct_of_all_fn,proba_median,proba_p10,proba_p90,mean_protocol_len,mean_title_len,condition_present_rate,scoped_negation_rate,n_fixed_by_h19_C
title_prior_collapse_total,37,45.67901234567901,0.2476657914797105,0.13469692328877786,0.3964848923633996,5025.864864864865,170.59459459459458,0.8918918918918919,0.2972972972972973,1
title_prior_low_partial,22,27.160493827160494,0.40832838434871876,0.3003615863239667,0.48766350078473036,18112.272727272728,232.95454545454547,0.9545454545454546,0.18181818181818182,4
condition_affirmed_but_missed,12,14.814814814814815,0.40967402430324673,0.31119622960006643,0.48547846877558803,12427.75,233.58333333333334,1.0,0.0,2
condition_negated,10,12.345679012345679,0.3776238271189776,0.32625492240373594,0.4808456231239187,14529.3,206.5,1.0,1.0,0
