id,n_condition_tokens,condition_present,condition_present_count,n_condition_tokens_matched,negation_count_total,nearest_negation_distance,neg_before_condition,neg_after_condition,neg_within_5,neg_within_10,neg_within_20,neg_within_50,condition_negated_exact,condition_affirmed,condition_negated,condition_unknown_h19
832,6,1,1,1,2,1.0,0,1,1,1,1,1,1,0,1,0
564,12,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
219,6,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
104,3,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
551,3,0,0,0,36,100.0,0,0,0,0,0,0,0,0,0,1
361,9,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
553,2,1,1,1,4,301.0,0,0,0,0,0,0,0,1,0,0
228,7,1,4,1,7,65.0,0,0,0,0,0,0,0,1,0,0
660,6,1,1,1,15,1856.0,0,0,0,0,0,0,0,1,0,0
170,4,0,0,0,6,100.0,0,0,0,0,0,0,0,0,0,1
748,4,1,3,2,3,114.0,0,0,0,0,0,0,0,1,0,0
77,12,1,4,3,1,203.0,0,0,0,0,0,0,0,1,0,0
265,4,1,4,2,1,693.0,0,0,0,0,0,0,0,1,0,0
30,6,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
7,5,1,3,1,7,48.0,1,0,0,0,0,1,0,1,0,0
833,7,0,0,0,4,100.0,0,0,0,0,0,0,0,0,0,1
785,5,1,5,2,124,80.0,0,0,0,0,0,0,0,1,0,0
297,6,1,4,2,1,59.0,0,0,0,0,0,0,0,1,0,0
802,5,1,4,2,2,27.0,1,0,0,0,0,1,1,0,1,0
388,7,1,5,4,22,203.0,0,0,0,0,0,0,0,1,0,0
175,6,0,0,0,6,100.0,0,0,0,0,0,0,0,0,0,1
318,3,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,1
590,14,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
150,5,1,1,1,3,32.0,0,1,0,0,0,1,1,0,1,0
426,4,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
604,7,1,4,1,9,5.0,0,1,1,1,1,1,1,0,1,0
306,12,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
565,12,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
152,3,1,6,1,3,4.0,0,1,1,1,1,1,1,0,1,0
647,5,1,2,2,13,2351.0,0,0,0,0,0,0,0,1,0,0
454,7,1,2,2,25,37.0,1,0,0,0,0,1,1,0,1,0
670,6,1,26,4,26,358.0,0,0,0,0,0,0,0,1,0,0
385,14,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
251,5,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
739,6,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
630,5,1,2,2,92,60.0,0,0,0,0,0,0,0,1,0,0
759,4,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
525,4,1,1,1,0,100.0,0,0,0,0,0,0,0,1,0,0
679,4,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
131,6,1,3,1,1,32.0,0,1,0,0,0,1,1,0,1,0
857,6,1,4,3,3,90.0,0,0,0,0,0,0,0,1,0,0
486,9,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
414,6,1,4,2,12,11.0,1,0,0,0,1,1,1,0,1,0
610,6,1,2,2,92,100.0,0,0,0,0,0,0,0,1,0,0
588,12,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
714,15,1,8,3,49,60.0,0,0,0,0,0,0,0,1,0,0
783,7,1,1,1,12,53.0,0,0,0,0,0,0,0,1,0,0
689,9,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
552,3,1,1,1,4,301.0,0,0,0,0,0,0,0,1,0,0
477,5,1,2,2,92,60.0,0,0,0,0,0,0,0,1,0,0
848,4,1,4,2,23,101.0,0,0,0,0,0,0,0,1,0,0
256,12,1,3,2,49,60.0,0,0,0,0,0,0,0,1,0,0
9,14,1,10,4,9,10.0,1,1,0,1,1,1,1,0,1,0
129,6,1,3,1,1,32.0,0,1,0,0,0,1,1,0,1,0
364,6,1,4,2,6,13.0,1,0,0,0,1,1,1,0,1,0
528,2,1,1,1,4,281.0,0,0,0,0,0,0,0,1,0,0
421,3,1,2,1,4,252.0,0,0,0,0,0,0,0,1,0,0
38,5,1,4,2,1,203.0,0,0,0,0,0,0,0,1,0,0
349,6,1,4,2,1,72.0,0,0,0,0,0,0,0,1,0,0
302,7,1,2,2,119,28.0,1,0,0,0,0,1,1,0,1,0
484,12,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
494,5,1,2,2,92,60.0,0,0,0,0,0,0,0,1,0,0
793,14,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
110,3,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
81,6,1,1,1,2,148.0,0,0,0,0,0,0,0,1,0,0
239,3,1,5,2,11,89.0,0,0,0,0,0,0,0,1,0,0
511,5,1,3,2,9,112.0,0,0,0,0,0,0,0,1,0,0
476,4,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
460,14,1,1,1,25,37.0,1,0,0,0,0,1,1,0,1,0
286,7,1,2,2,0,100.0,0,0,0,0,0,0,0,1,0,0
614,14,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
184,7,1,4,1,7,65.0,0,0,0,0,0,0,0,1,0,0
51,5,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
757,6,1,4,2,2,1.0,1,1,1,1,1,1,1,0,1,0
101,4,1,1,1,7,1603.0,0,0,0,0,0,0,0,1,0,0
266,5,1,4,2,1,693.0,0,0,0,0,0,0,0,1,0,0
692,6,1,2,2,1,246.0,0,0,0,0,0,0,0,1,0,0
278,5,1,1,1,20,69.0,0,0,0,0,0,0,0,1,0,0
622,5,1,1,1,28,282.0,0,0,0,0,0,0,0,1,0,0
719,5,1,18,3,25,279.0,0,0,0,0,0,0,0,1,0,0
762,7,1,5,3,124,27.0,1,0,0,0,0,1,1,0,1,0
711,7,1,7,3,49,60.0,0,0,0,0,0,0,0,1,0,0
249,4,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
254,6,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
258,14,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
581,4,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
767,12,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
136,3,1,1,1,3,31.0,0,1,0,0,0,1,1,0,1,0
355,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
88,4,1,1,1,9,215.0,0,0,0,0,0,0,0,1,0,0
82,6,1,1,1,2,148.0,0,0,0,0,0,0,0,1,0,0
236,3,1,2,1,5,132.0,0,0,0,0,0,0,0,1,0,0
633,5,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
244,6,1,3,2,4,71.0,0,0,0,0,0,0,0,1,0,0
379,7,1,2,2,119,28.0,1,0,0,0,0,1,1,0,1,0
76,12,1,6,4,1,203.0,0,0,0,0,0,0,0,1,0,0
412,5,1,5,3,12,11.0,1,0,0,0,1,1,1,0,1,0
382,15,1,2,2,119,28.0,1,0,0,0,0,1,1,0,1,0
842,12,1,1,1,19,162.0,0,0,0,0,0,0,0,1,0,0
304,6,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
859,6,1,2,2,2,110.0,0,0,0,0,0,0,0,1,0,0
350,7,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,1
433,12,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
751,5,1,5,4,3,114.0,0,0,0,0,0,0,0,1,0,0
18,5,1,4,2,1,203.0,0,0,0,0,0,0,0,1,0,0
763,5,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
591,9,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
599,5,1,3,2,22,21.0,1,0,0,0,0,1,1,0,1,0
285,5,1,2,2,0,100.0,0,0,0,0,0,0,0,1,0,0
847,6,1,4,2,23,101.0,0,0,0,0,0,0,0,1,0,0
761,5,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
119,3,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
504,5,1,3,2,9,112.0,0,0,0,0,0,0,0,1,0,0
277,7,1,3,2,20,61.0,0,0,0,0,0,0,0,1,0,0
800,4,1,4,2,2,27.0,1,0,0,0,0,1,1,0,1,0
666,5,1,20,3,26,358.0,0,0,0,0,0,0,0,1,0,0
337,6,1,4,2,1,271.0,0,0,0,0,0,0,0,1,0,0
176,15,1,2,1,6,400.0,0,0,0,0,0,0,0,1,0,0
91,4,1,1,1,9,215.0,0,0,0,0,0,0,0,1,0,0
245,6,1,2,2,7,13.0,1,0,0,0,1,1,1,0,1,0
467,4,1,6,2,20,93.0,0,0,0,0,0,0,0,1,0,0
823,4,1,3,2,0,100.0,0,0,0,0,0,0,0,1,0,0
195,7,1,4,1,7,65.0,0,0,0,0,0,0,0,1,0,0
495,5,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
571,4,1,2,2,5,203.0,0,0,0,0,0,0,0,1,0,0
485,14,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
132,6,1,3,1,1,32.0,0,1,0,0,0,1,1,0,1,0
685,15,1,8,3,49,60.0,0,0,0,0,0,0,0,1,0,0
111,5,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
225,4,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
63,6,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
635,15,1,4,2,92,9.0,1,1,0,1,1,1,1,0,1,0
218,5,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
792,12,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
402,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
309,9,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
745,5,1,5,3,3,114.0,0,0,0,0,0,0,0,1,0,0
855,3,1,1,1,5,322.0,0,0,0,0,0,0,0,1,0,0
243,4,0,0,0,11,100.0,0,0,0,0,0,0,0,0,0,1
654,7,0,0,0,25,100.0,0,0,0,0,0,0,0,0,0,1
799,6,1,4,2,2,27.0,1,0,0,0,0,1,1,0,1,0
46,9,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
263,4,1,4,2,1,693.0,0,0,0,0,0,0,0,1,0,0
99,4,1,1,1,7,1603.0,0,0,0,0,0,0,0,1,0,0
641,7,1,5,4,13,288.0,0,0,0,0,0,0,0,1,0,0
22,12,1,2,1,1,203.0,0,0,0,0,0,0,0,1,0,0
403,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
235,9,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
267,5,1,4,2,1,693.0,0,0,0,0,0,0,0,1,0,0
57,9,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
124,6,1,3,1,6,46.0,0,1,0,0,0,1,0,1,0,0
240,5,1,5,2,11,89.0,0,0,0,0,0,0,0,1,0,0
334,9,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
291,5,1,2,2,0,100.0,0,0,0,0,0,0,0,1,0,0
676,3,1,1,1,5,70.0,0,0,0,0,0,0,0,1,0,0
696,5,1,2,2,1,246.0,0,0,0,0,0,0,0,1,0,0
123,6,1,3,1,6,46.0,0,1,0,0,0,1,0,1,0,0
652,3,1,1,1,3,384.0,0,0,0,0,0,0,0,1,0,0
143,3,1,1,1,3,31.0,0,1,0,0,0,1,1,0,1,0
