variant,macro_f2,m2,delta_vs_previous,delta_vs_full
1. Text only,0.8068503294578799,0.6818896210175109,,0.0024586305547469323
"2. + Structural (has_structured_header, protocol_len)",0.802957565017765,0.6732390333728112,-0.008650587644699725,-0.006191957089952793
"3. + Demographics (age, gender)",0.8024209350936597,0.672046522430355,-0.0011925109424562041,-0.007384468032408997
4. + Negation (negation_count),0.8057439457082438,0.679430990462764,0.007384468032408997,0.0
5. Full C2,0.8057439457082438,0.679430990462764,0.0,0.0
