experiment,families,cv_m2,delta_vs_baseline,macro_f2,mean_fold,std_fold,fn,fp,positive_rate,folds_improved,fold_scores
A. baseline (config G),none,0.7023868247508647,0.0,0.8160740711378891,0.8159207742665409,0.03983515917288531,81,42,0.6,0,"[0.7448, 0.8299, 0.8361, 0.8344, 0.8344]"
B. exact protocol recurrence,protocol,0.696704290243994,-0.005682534506870618,0.8135169306097974,0.8133506929383643,0.04095241226289143,80,44,0.6043478260869565,1,"[0.7413, 0.8363, 0.8361, 0.8344, 0.8186]"
C. normalised protocol recurrence,norm,0.696704290243994,-0.005682534506870618,0.8135169306097974,0.8133506929383643,0.04095241226289143,80,44,0.6043478260869565,1,"[0.7413, 0.8363, 0.8361, 0.8344, 0.8186]"
D. title recurrence,title,0.6855206502076486,-0.01686617454321604,0.8084842925934419,0.8084272107961393,0.04646232494192179,84,44,0.5985507246376811,0,"[0.7261, 0.8205, 0.8361, 0.8249, 0.8344]"
E. title+protocol pair recurrence,pair,0.7023868247508647,0.0,0.8160740711378891,0.8159207742665409,0.03983515917288531,81,42,0.6,0,"[0.7448, 0.8299, 0.8361, 0.8344, 0.8344]"
F. label-conditioned rates,label,0.5549860687104532,-0.14740075604041147,0.7497437309197039,0.7485680175724634,0.033161078592999056,76,79,0.6608695652173913,0,"[0.7007, 0.7559, 0.7355, 0.7604, 0.7903]"
G. all recurrence families,protocol+norm+title+pair+label,0.5728501474141121,-0.12953667733675256,0.7577825663363504,0.7568597049047397,0.0358415544720815,76,75,0.6550724637681159,0,"[0.696, 0.7658, 0.7717, 0.7604, 0.7903]"
