candidate,m2_mean,m2_sd_repeats,m2_per_repeat,auc_mean,fn_mean,fp_mean,positive_rate,collapsed_within_auc,collapsed_fn_mean,collapsed_pos,m2_frozen_split,delta_m2_mean,delta_m2_per_repeat,repeats_improved,fold_delta_m2_mean,corrected_t,p_one_sided,passes_gate
G,0.6992644639688068,0.006976248954997787,"[np.float64(0.6968), np.float64(0.7037), np.float64(0.708), np.float64(0.698), np.float64(0.6898)]",0.8911764979834389,81.8,42.2,0.5991304347826087,0.39588847660276233,35.8,36,0.7023868247508647,,,,,,,
B0 control: +noise column,0.6871932355916527,0.009417934278380278,"[np.float64(0.6912), np.float64(0.677), np.float64(0.6996), np.float64(0.6897), np.float64(0.6785)]",0.889373236091318,84.0,43.6,0.5979710144927536,0.38487734487734493,35.8,36,0.6911138599027625,-0.01207122837715422,"[np.float64(-0.0056), np.float64(-0.0267), np.float64(-0.0084), np.float64(-0.0084), np.float64(-0.0113)]",0.0,-0.012078896841963466,-1.3474335260718397,0.9047876390242597,False
B1 +ICD code,0.7183451253457865,0.010719498595167014,"[np.float64(0.7121), np.float64(0.7093), np.float64(0.7263), np.float64(0.7332), np.float64(0.7108)]",0.8968321830087275,76.2,41.4,0.6060869565217392,0.4799360956503813,31.6,36,0.7037466929795326,0.019080661376979592,"[np.float64(0.0154), np.float64(0.0056), np.float64(0.0183), np.float64(0.0351), np.float64(0.021)]",5.0,0.019124031468931227,1.2614859399657075,0.109628826465205,False
B2 +ICD category,0.7144514421683941,0.010889965729282162,"[np.float64(0.7052), np.float64(0.7052), np.float64(0.7262), np.float64(0.7262), np.float64(0.7094)]",0.8941217015489796,79.4,40.2,0.5997101449275363,0.3997660276231705,35.4,36,0.7108407890327216,0.015186978199587097,"[np.float64(0.0084), np.float64(0.0014), np.float64(0.0182), np.float64(0.0282), np.float64(0.0197)]",5.0,0.015153222570061695,1.2345889118764926,0.1144676551230932,False
B3 +title x ICD,0.7167346873524838,0.020497934493540464,"[np.float64(0.715), np.float64(0.6996), np.float64(0.7375), np.float64(0.694), np.float64(0.7376)]",0.8985013179832528,80.4,39.0,0.5965217391304348,0.4774211502782932,34.0,36,0.6883176051692516,0.017470223383676896,"[np.float64(0.0182), np.float64(-0.0042), np.float64(0.0295), np.float64(-0.0041), np.float64(0.0478)]",3.0,0.01733588537876223,0.7375979724579738,0.23395482975206716,False
B4 +ICD +title x ICD,0.716148149279853,0.01749800560355068,"[np.float64(0.7192), np.float64(0.6996), np.float64(0.7361), np.float64(0.6968), np.float64(0.729)]",0.8993023537411166,80.0,39.4,0.5976811594202899,0.4817212945784374,30.6,36,0.6911741662765625,0.016883685311046115,"[np.float64(0.0224), np.float64(-0.0042), np.float64(0.0281), np.float64(-0.0013), np.float64(0.0393)]",3.0,0.01666942078531257,0.7018884605560158,0.2447500643081365,False
B5 +diagnosis text,0.7147023437320935,0.008407705922492147,"[np.float64(0.7079), np.float64(0.7108), np.float64(0.715), np.float64(0.729), np.float64(0.7108)]",0.8976760648652677,77.8,41.2,0.6034782608695652,0.47875386518243657,33.0,36,0.6980345592692647,0.01543787976328661,"[np.float64(0.0111), np.float64(0.007), np.float64(0.007), np.float64(0.031), np.float64(0.021)]",5.0,0.01551423498981505,0.9733086510243228,0.17005419914390663,False
B6 narrative -> clean full text,0.7068782420438862,0.01007286329945101,"[np.float64(0.7094), np.float64(0.708), np.float64(0.7066), np.float64(0.7192), np.float64(0.6912)]",0.8931567328918322,80.6,41.2,0.5994202898550725,0.38283343640486495,35.6,36,0.7065434912233413,0.0076137780750792135,"[np.float64(0.0126), np.float64(0.0042), np.float64(-0.0014), np.float64(0.0212), np.float64(0.0014)]",4.0,0.007568191724324642,0.664816727787094,0.2562529293215601,False
B7 +clean full text,0.6955283036339862,0.010235006133775506,"[np.float64(0.6908), np.float64(0.7079), np.float64(0.7038), np.float64(0.6826), np.float64(0.6926)]",0.894727135552016,80.4,44.0,0.603768115942029,0.43184188827045966,34.6,36,0.6909842996235284,-0.003736160334820693,"[np.float64(-0.006), np.float64(0.0041), np.float64(-0.0042), np.float64(-0.0154), np.float64(0.0028)]",2.0,-0.00390761852705412,-0.23416168864108763,0.5915772518475584,False
