candidate,m2_mean,m2_sd_repeats,m2_per_repeat,auc_mean,fn_mean,fp_mean,positive_rate,collapsed_within_auc,collapsed_fn_mean,collapsed_pos,m2_frozen_split,delta_m2_mean,delta_m2_per_repeat,repeats_improved,fold_delta_m2_mean,corrected_t,p_one_sided,passes_gate
C0 G+ICD+diagnosis,0.7214597972674913,0.009551557689735748,"[np.float64(0.7149), np.float64(0.7193), np.float64(0.7221), np.float64(0.7374), np.float64(0.7136)]",0.8973947709130876,76.0,40.8,0.6055072463768116,0.48417439703153986,30.6,36,0.7022919843974792,0.022195333298684505,"[np.float64(0.0181), np.float64(0.0155), np.float64(0.0141), np.float64(0.0394), np.float64(0.0238)]",5,0.022257830183699964,1.4582248382742276,0.07887091100428667,True
C1 C0+per-title copies,0.7123180046472095,0.018599698899349204,"[np.float64(0.7233), np.float64(0.6865), np.float64(0.7333), np.float64(0.7009), np.float64(0.7175)]",0.8941049356842801,74.4,44.0,0.612463768115942,0.4779581529581529,28.0,36,0.671110251854307,0.013053540678402675,"[np.float64(0.0265), np.float64(-0.0172), np.float64(0.0253), np.float64(0.0029), np.float64(0.0278)]",4,0.013138371121297817,0.4271482398085497,0.3365395716413213,False
C2 CatBoost,0.6827363708062761,0.021903402166526167,"[np.float64(0.704), np.float64(0.6876), np.float64(0.6677), np.float64(0.6531), np.float64(0.7012)]",0.8967725710453516,68.6,54.6,0.636231884057971,0.5168717790146362,26.6,36,0.6782333966799984,-0.016528093162530698,"[np.float64(0.0072), np.float64(-0.0161), np.float64(-0.0403), np.float64(-0.0449), np.float64(0.0115)]",2,-0.016676007189796296,-0.5037084813172507,0.6904706629256833,False
C3 CatBoost+protocol id,0.6962033026649816,0.024694038023285004,"[np.float64(0.692), np.float64(0.7101), np.float64(0.6622), np.float64(0.6886), np.float64(0.7281)]",0.8988589897635082,65.6,53.4,0.638840579710145,0.5241414141414142,26.4,36,0.6668744966617307,-0.003061161303825233,"[np.float64(-0.0048), np.float64(0.0064), np.float64(-0.0458), np.float64(-0.0094), np.float64(0.0383)]",2,-0.0033785569334902543,-0.1031447378555575,0.5406474303737876,False
"C4 mean(C0,C3)",0.7127947449786654,0.03341289231135716,"[np.float64(0.7395), np.float64(0.7114), np.float64(0.6671), np.float64(0.6961), np.float64(0.7499)]",0.9026275835731784,69.0,47.4,0.6252173913043478,0.4859997938569368,29.0,36,0.689283542402144,0.01353028100985849,"[np.float64(0.0427), np.float64(0.0077), np.float64(-0.041), np.float64(-0.002), np.float64(0.0602)]",3,0.0136388697849112,0.48298141319913496,0.3167427923732702,False
C5 C0 at C=0.3,0.6780166323992521,0.016227936215371976,"[np.float64(0.6567), np.float64(0.689), np.float64(0.6677), np.float64(0.6973), np.float64(0.6794)]",0.8837454941738621,74.4,52.0,0.6240579710144928,0.4829097093382808,32.2,36,0.6531211474587177,-0.021247831569554808,"[np.float64(-0.0401), np.float64(-0.0148), np.float64(-0.0403), np.float64(-0.0008), np.float64(-0.0103)]",0,-0.021447208364485708,-0.8273125111277477,0.7918947684392724,False
C5 C0 at C=3.0,0.7161046772575668,0.019095559661968794,"[np.float64(0.7233), np.float64(0.7162), np.float64(0.7052), np.float64(0.6926), np.float64(0.7432)]",0.8981715893108297,77.0,41.4,0.6049275362318841,0.46122139764996917,30.0,36,0.7066167290886393,0.016840213288759887,"[np.float64(0.0265), np.float64(0.0125), np.float64(-0.0028), np.float64(-0.0055), np.float64(0.0534)]",3,0.01689532554378608,0.7129894671567992,0.2413638911531487,False
