candidate,m2_mean,m2_sd_repeats,m2_per_repeat,auc_mean,fn_mean,fp_mean,positive_rate,collapsed_within_auc,collapsed_fn_mean,collapsed_pos,delta_m2_mean,delta_m2_per_repeat,repeats_improved,fold_delta_m2_mean,corrected_t,p_one_sided,passes_gate
D1 C0+LLM vs C0 [s0],0.7104598480620895,0.021370327763312245,"[np.float64(0.7246), np.float64(0.6893), np.float64(0.6862), np.float64(0.719), np.float64(0.7332)]",0.898434254524455,72.0,46.0,0.618840579710145,0.5217511853226139,27.8,36,-0.010999949205401949,"[np.float64(0.0097), np.float64(-0.03), np.float64(-0.0359), np.float64(-0.0184), np.float64(0.0196)]",2,-0.011150110175797472,-0.3928134201636018,0.6510376995215061,False
D1 C0+LLM vs G [s0],0.7104598480620895,0.021370327763312245,"[np.float64(0.7246), np.float64(0.6893), np.float64(0.6862), np.float64(0.719), np.float64(0.7332)]",0.898434254524455,72.0,46.0,0.618840579710145,0.5217511853226139,27.8,36,0.011195384093282556,"[np.float64(0.0278), np.float64(-0.0145), np.float64(-0.0218), np.float64(0.021), np.float64(0.0434)]",3,0.011107720007902494,0.3882844601260994,0.3506142380377899,False
D2 G+LLM vs C0 [s0],0.6968812182480052,0.018225441636553767,"[np.float64(0.7162), np.float64(0.6736), np.float64(0.7019), np.float64(0.7102), np.float64(0.6824)]",0.8976462588835797,73.8,48.0,0.6191304347826087,0.4652164502164502,31.4,36,-0.024578579019486124,"[np.float64(0.0013), np.float64(-0.0457), np.float64(-0.0202), np.float64(-0.0272), np.float64(-0.0311)]",1,-0.024651155437333424,-0.8243006231794113,0.7910570038839089,False
D2 G+LLM vs G [s0],0.6968812182480052,0.018225441636553767,"[np.float64(0.7162), np.float64(0.6736), np.float64(0.7019), np.float64(0.7102), np.float64(0.6824)]",0.8976462588835797,73.8,48.0,0.6191304347826087,0.4652164502164502,31.4,36,-0.002383245720801619,"[np.float64(0.0195), np.float64(-0.0301), np.float64(-0.0061), np.float64(0.0122), np.float64(-0.0073)]",2,-0.0023933252536334593,-0.08859257970363728,0.5349295849174568,False
D1 C0+LLM vs C0 [s5],0.7031526538212898,0.028147741121597663,"[np.float64(0.6779), np.float64(0.6677), np.float64(0.7274), np.float64(0.7178), np.float64(0.7249)]",0.8974301655163421,75.2,45.6,0.6136231884057971,0.5374232117089262,27.0,36,-0.007535701545764861,"[np.float64(0.0096), np.float64(-0.0331), np.float64(0.0056), np.float64(-0.0127), np.float64(-0.007)]",2,-0.00783853816239371,-0.38566876765591473,0.6484303154594798,False
D1 C0+LLM vs G [s5],0.7031526538212898,0.028147741121597663,"[np.float64(0.6779), np.float64(0.6677), np.float64(0.7274), np.float64(0.7178), np.float64(0.7249)]",0.8974301655163421,75.2,45.6,0.6136231884057971,0.5374232117089262,27.0,36,0.014337485082822,"[np.float64(0.0179), np.float64(0.0062), np.float64(0.0237), np.float64(0.007), np.float64(0.0169)]",5,0.014044219028237707,0.6262687356908183,0.2685251220735627,False
D2 G+LLM vs C0 [s5],0.689136147675471,0.02998591265107259,"[np.float64(0.6689), np.float64(0.6465), np.float64(0.7158), np.float64(0.7065), np.float64(0.708)]",0.895442479112527,75.0,49.0,0.618840579710145,0.4807833436404866,31.2,36,-0.021552207691583614,"[np.float64(0.0006), np.float64(-0.0543), np.float64(-0.0061), np.float64(-0.024), np.float64(-0.0239)]",1,-0.02207371092818241,-0.8737160834755462,0.8045341048630005,False
D2 G+LLM vs G [s5],0.689136147675471,0.02998591265107259,"[np.float64(0.6689), np.float64(0.6465), np.float64(0.7158), np.float64(0.7065), np.float64(0.708)]",0.895442479112527,75.0,49.0,0.618840579710145,0.4807833436404866,31.2,36,0.0003209789370032468,"[np.float64(0.0089), np.float64(-0.015), np.float64(0.012), np.float64(-0.0043), np.float64(-0.0)]",2,-0.00019095373755099066,-0.008554957429296413,0.5033775345934512,False
