fold,macro_f2_c2,macro_f2_g,delta_macro_f2,m2_c2,m2_g,delta_m2
0,0.7192806733808719,0.7447833065810594,0.02550263320018753,0.48729038529082636,0.5439629035134653,0.05667251822263897
1,0.8362830243760035,0.8298500122940743,-0.006433012081929257,0.7472956097244523,0.7330000273201651,-0.014295582404287188
2,0.8423449856092995,0.8361065665204135,-0.006238419088886005,0.7607666346873322,0.7469034811564744,-0.013863153530857764
3,0.8181158683658476,0.8344319929685784,0.016316124602730797,0.7069241519241057,0.7431822065968409,0.03625805467273513
4,0.8119189049586777,0.8344319929685784,0.022513088009900706,0.6931531221303948,0.7431822065968409,0.05002908446644605
