Model,Raw Macro-F2,M2,Accuracy,Precision (macro),Recall (macro),Applicable Recall,Applicable Precision,FP,FN
Frozen C2,0.8057439457082438,0.679430990462764,0.8159420289855073,0.795481220657277,0.8095258054600833,0.8300220750551877,0.8826291079812206,50,77
G (promoted),0.8160740711378891,0.7023868247508647,0.8217391304347826,0.802536231884058,0.8219884315533574,0.8211920529801324,0.8985507246376812,42,81
Delta (G - C2),0.010330125429645287,0.022955834288100663,0.005797101449275366,0.007055011226780983,0.012462626093274087,-0.008830022075055233,0.015921616656460524,-8,4
