model,class,precision,recall,f2,support,accuracy,macro_f2,tp,fp,tn,fn
C2,Not Applicable (0),0.7083333333333334,0.7890295358649789,0.7714521452145214,237.0,0.8159420289855073,0.8057439457082438,,,,
C2,Applicable (1),0.8826291079812206,0.8300220750551877,0.8400357462019661,453.0,0.8159420289855073,0.8057439457082438,,,,
C2,confusion_matrix,,,,,0.8159420289855073,0.8057439457082438,376.0,50.0,187.0,77.0
G,Not Applicable (0),0.7065217391304348,0.8227848101265823,0.7965686274509803,237.0,0.8217391304347826,0.8160740711378891,,,,
G,Applicable (1),0.8985507246376812,0.8211920529801324,0.8355795148247979,453.0,0.8217391304347826,0.8160740711378891,,,,
G,confusion_matrix,,,,,0.8217391304347826,0.8160740711378891,372.0,42.0,195.0,81.0
